1,2,3,4
1418.0,465.4,1224578156,2
1469.8,468.1,1224578175,2
1461.3,468.3,1224578188,2
1448.5,457.0,1224578199,2
1457.2,454.8,1224578218,2
1446.1,455.4,1224578246,2
1447.9,464.3,1224578263,2
1436.8,476.3,1224578279,2
1427.1,465.1,1224578290,2
1433.8,495.8,1224578308,2
1436.6,500.2,1224578323,2
1430.7,489.3,1224578335,2
1419.9,476.4,1224578356,2
1413.7,468.0,1224578368,2
1365.3,436.6,1224578399,2
1393.7,452.4,1224578412,2
1373.6,444.2,1224578427,2
1336.8,442.1,1224578443,2
1335.3,445.4,1224578457,2
1337.8,444.8,1224578469,2
1338.1,447.0,1224578489,2
1337.7,454.3,1224578502,2
1341.0,461.7,1224578514,2
1305.9,491.9,1224578548,2
1307.3,484.9,1224578561,2
1328.7,470.9,1224578592,2
1328.4,468.4,1224578604,2
1356.4,449.8,1224578644,2
1367.9,449.5,1224578657,2
1373.4,449.2,1224578669,2
1352.9,458.6,1224578696,2
1346.0,458.1,1224578712,2
1348.4,457.4,1224578726,2
1338.7,459.8,1224578739,2
1326.2,462.7,1224578760,2
1329.1,461.3,1224578774,2
1323.8,463.7,1224578784,2
1325.4,472.9,1224578824,2
1323.1,478.3,1224578850,2
1322.3,478.8,1224578862,2
1314.5,485.1,1224578875,2
1288.9,499.9,1224578907,2
1294.0,497.9,1224578921,2
1262.7,524.3,1224578953,2
1289.5,504.8,1224578965,2
1280.2,507.8,1224579006,2
1313.8,481.2,1224579020,2
1327.5,472.1,1224579046,2
1319.1,482.0,1224579055,2
1303.5,484.6,1224579087,2
1305.4,495.7,1224579098,2
1306.1,495.9,1224579148,2
1299.1,514.6,1224579181,2
1293.2,519.4,1224579190,2
1297.2,520.4,1224579225,2
1319.3,476.9,1224579233,2
1327.0,462.6,1224579266,2
1351.2,468.9,1224579305,2
1426.4,493.6,1224579319,2
1394.9,496.2,1224579323,2
1466.9,519.2,1224579343,2
1454.7,518.6,1224579359,2
1442.6,518.9,1224579367,2
1454.1,503.4,1224579388,2
1434.8,494.0,1224579400,2
1408.8,520.9,1224579414,2
1404.6,519.8,1224579450,2
1406.1,495.6,1224579460,2
1427.4,489.6,1224579478,2
1427.4,486.7,1224579495,2
1417.1,496.3,1224579507,2
1450.1,496.9,1224579526,2
1445.6,505.9,1224579540,2
1439.3,494.8,1224579553,2
1446.2,494.2,1224579567,2
1375.0,467.3,1224579593,2
1377.4,465.8,1224579612,2
1380.4,461.8,1224579627,2
1365.0,461.8,1224579641,2
1352.2,464.1,1224579672,2
1342.8,451.2,1224579687,2
1339.9,448.4,1224579717,2
1333.9,442.2,1224579762,2
1337.3,441.5,1224579777,2
1339.3,462.6,1224579809,2
1340.3,463.7,1224579820,2
1340.8,474.0,1224579852,2
1337.5,474.2,1224579865,2
1336.3,473.6,1224579899,2
1336.5,462.1,1224579912,2
1354.0,440.7,1224579942,2
1354.1,440.1,1224579955,2
1350.4,436.6,1224579990,2
1343.8,454.0,1224580003,2
1333.6,462.5,1224580045,2
1317.3,475.8,1224580061,2
1310.4,492.2,1224580076,2
1308.9,490.9,1224580088,2
1308.1,491.9,1224580107,2
1306.9,487.4,1224580122,2
1308.5,485.7,1224580135,2
1310.9,478.5,1224580166,2
1316.6,480.1,1224580211,2
1307.8,483.8,1224580222,2
1290.3,486.4,1224580243,2
1286.4,483.3,1224580256,2
1291.3,480.9,1224580269,2
1300.2,495.3,1224580301,2
1301.6,497.6,1224580314,2
1292.0,503.0,1224580350,2
1290.5,502.9,1224580359,2
1280.8,503.9,1224580394,2
1324.3,475.9,1224580404,2
1349.9,458.8,1224580438,2
1348.8,453.8,1224580450,2
1349.9,455.7,1224580470,2
1309.6,475.8,1224580500,2
1284.3,487.1,1224580514,2
1179.3,509.7,1224580528,2
1082.8,512.7,1224580540,2
999.8,523.4,1224580559,2
921.3,526.7,1224580574,2
873.9,549.5,1224580586,2
