1,2,3,4
1003.3,-107.2,1146986151,1
1003.3,-107.2,1146986196,1
975.8,143.8,1146986226,1
972.2,177.0,1146986244,1
1073.1,381.2,1146986261,1
1077.1,384.4,1146986277,1
1073.6,381.7,1146986292,1
1091.7,460.2,1146986334,1
1135.1,806.7,1146986364,1
1054.7,603.8,1146986379,1
886.4,183.3,1146986397,1
818.4, -4.3,1146986414,1
830.6,  9.4,1146986429,1
824.4,  4.8,1146986444,1
874.5, 30.8,1146986462,1
876.2, 36.3,1146986498,1
854.3,-24.5,1146986512,1
834.6,-15.7,1146986527,1
563.4, 30.5,1146986546,1
369.6, -4.4,1146986564,1
345.5,-13.0,1146986582,1
457.0,-55.7,1146986604,1
256.4,-94.9,1146986657,1
374.6,-53.5,1146986673,1
382.9,-12.6,1146986701,1
534.8, 44.2,1146986717,1
808.9,202.0,1146986731,1
795.3,200.2,1146986745,1
816.2,216.5,1146986776,1
698.8,148.5,1146986792,1
710.3, 83.7,1146986806,1
783.6, 31.6,1146986820,1
645.9,  4.5,1146986836,1
611.8,104.5,1146986851,1
793.7,261.4,1146986865,1
733.4,219.5,1146986881,1
684.6,208.1,1146986896,1
667.2,220.7,1146986927,1
628.8,179.6,1146986942,1
267.5, 30.7,1146986986,1
406.4, 89.9,1146987002,1
359.0,197.9,1146987030,1
408.1,163.2,1146987046,1
321.3,117.1,1146987080,1
308.7, 55.6,1146987092,1
296.1, 83.2,1146987106,1
310.3, 71.6,1146987122,1
336.6, 85.5,1146987136,1
346.4, 95.4,1146987151,1
383.3,130.8,1146987166,1
392.5,131.4,1146987181,1
501.0,126.6,1146987198,1
432.1,134.2,1146987229,1
432.9,132.6,1146987243,1
394.9,132.9,1146987259,1
407.2,132.0,1146987274,1
165.2,150.1,1146987288,1
191.4,132.7,1146987303,1
410.7, 44.2,1146987321,1
671.5,-59.2,1146987349,1
560.2,-158.4,1146987378,1
537.7,-172.3,1146987392,1
512.9,-186.8,1146987408,1
584.9,-144.2,1146987421,1
779.2,-29.1,1146987437,1
688.0,-79.4,1146987452,1
872.8, 54.4,1146987467,1
863.5, 51.3,1146987483,1
873.0, 41.4,1146987498,1
877.7, 27.7,1146987532,1
852.4, 15.3,1146987543,1
813.0, -8.2,1146987556,1
776.5,-15.9,1146987572,1
766.0,-21.2,1146987591,1
789.2,-10.3,1146987601,1
828.7, -2.4,1146987616,1
778.8,-27.0,1146987631,1
709.4,-49.8,1146987645,1
679.1,-58.3,1146987678,1
782.3,-31.8,1146987692,1
696.6,-53.3,1146987708,1
679.3,-76.7,1146987722,1
797.3,-81.4,1146987737,1
824.9,-87.3,1146987752,1
605.5,-69.7,1146987767,1
702.9,-79.7,1146987780,1
678.6,-84.8,1146987796,1
623.2,-87.2,1146987829,1
587.1,-111.7,1146987842,1
621.3,-109.4,1146987857,1
813.0,-83.5,1146987872,1
793.2,-93.2,1146987888,1
665.8,-120.1,1146987901,1
723.8,-109.0,1146987915,1
717.6,-102.7,1146987931,1
680.8,-104.3,1146987946,1
696.7,-75.3,1146987980,1
774.3,-42.0,1146987991,1
819.5,-26.2,1146988002,1
801.1,-13.0,1146988017,1
820.2,  4.2,1146988033,1
831.5, 14.7,1146988046,1
836.6, 46.1,1146988061,1
835.6, 41.2,1146988076,1
827.1, 28.5,1146988122,1
771.0, 39.8,1146988152,1
741.9, 36.7,1146988168,1
730.3, 32.4,1146988191,1
647.0,-38.1,1146988204,1
592.4,-72.5,1146988215,1
581.5,-80.3,1146988229,1
611.2,-76.2,1146988245,1
597.8,-82.8,1146988277,1
594.3,-40.9,1146988293,1
580.5,-28.2,1146988314,1
575.8,556.0,1146988355,1
664.8,379.3,1146988402,1
678.2,220.5,1146988475,1
674.6,167.6,1146988581,1
358.1,-208.9,1146988670,1
427.2,-117.8,1146988685,1
436.5,-105.5,1146988703,1
408.9,-141.9,1146988734,1
330.2,-115.1,1146988746,1
211.6,-80.2,1146988761,1
280.9,-166.3,1146988790,1
396.5,-63.5,1146988810,1
482.5, 49.6,1146988836,1
723.1,312.1,1146988847,1
763.9,371.6,1146988891,1
774.1,403.2,1146988922,1
776.4,462.7,1146988943,1
777.6,491.6,1146988960,1
621.3,354.5,1146988978,1
628.5,361.6,1146988987,1
201.3,166.6,1146988999,1
205.1,173.7,1146989027,1
101.5,140.9,1146989041,1
252.8,190.7,1146989056,1
265.1,194.3,1146989070,1
191.6,150.3,1146989088,1
215.8,146.8,1146989102,1
244.1,151.8,1146989117,1
138.5,120.2,1146989132,1
170.3,130.4,1146989149,1
 88.9, 65.4,1146989179,1
171.6,104.2,1146989193,1
183.9, 82.3,1146989211,1
420.7,-84.1,1146989230,1
542.5,-16.6,1146989246,1
569.9,-30.8,1146989263,1
540.4,-93.6,1146989278,1
563.5,-44.3,1146989293,1
581.7, -5.7,1146989312,1
757.7,370.8,1146989362,1
741.5,331.8,1146989378,1
740.4,328.9,1146989397,1
722.1,288.3,1146989408,1
619.0,116.4,1146989418,1
702.5,251.0,1146989431,1
690.8,246.1,1146989450,1
679.4,295.2,1146989476,1
505.7,227.4,1146989493,1
472.0,166.6,1146989512,1
451.4,155.1,1146989527,1
244.1,  3.4,1146989544,1
249.5, 17.3,1146989557,1
265.6, 30.5,1146989570,1
155.0, 10.1,1146989579,1
172.4, 46.1,1146989591,1
 55.8, 46.2,1146989623,1
115.6, 99.7,1146989637,1
 72.9, 77.6,1146989651,1
 53.3, 69.9,1146989666,1
136.5, 92.6,1146989689,1
 98.6, 70.4,1146989706,1
391.0,-123.4,1146989721,1
512.2, 19.6,1146989737,1
484.4, 45.8,1146989754,1
575.7, 71.9,1146989795,1
600.0, 62.3,1146989810,1
582.6, 57.8,1146989841,1
583.6, 58.7,1146989855,1
592.6, 56.6,1146989871,1
589.5, 65.1,1146989886,1
651.6,215.7,1146989901,1
526.4,212.0,1146989915,1
-43.2,  1.5,1146989945,1
-58.7,-62.8,1146989959,1
234.6, 75.3,1146989973,1
196.3, 33.4,1146989986,1
281.8, 56.6,1146989999,1
257.4, 38.3,1146990015,1
199.7, 12.5,1146990030,1
203.2, 21.2,1146990045,1
162.5, 30.4,1146990077,1
-12.3, 13.5,1146990090,1
-20.7, 15.9,1146990104,1
-80.7,  9.1,1146990119,1
-138.5, 11.9,1146990133,1
-162.6, 15.0,1146990150,1
-182.1, 22.4,1146990189,1
-202.6, 30.2,1146990206,1
-197.7, 33.3,1146990236,1
-210.7, 16.2,1146990246,1
-220.1,  3.0,1146990258,1
-224.4, -2.6,1146990271,1
-204.8, -5.5,1146990287,1
-163.0,-15.3,1146990304,1
-162.5,-15.4,1146990317,1
 31.2, 25.6,1146990332,1
 59.3, 35.0,1146990351,1
282.2, 81.0,1146990378,1
291.0,120.3,1146990408,1
318.5,155.8,1146990422,1
299.5,140.1,1146990439,1
262.9,126.7,1146990453,1
284.9,168.2,1146990468,1
123.7,112.0,1146990483,1
 66.5, 91.2,1146990499,1
-43.3,100.9,1146990529,1
 55.3,105.8,1146990543,1
 22.3, 71.6,1146990556,1
-14.2, 60.7,1146990573,1
222.2, 87.1,1146990588,1
259.8, 84.8,1146990602,1
268.4, 85.8,1146990618,1
278.9, 77.7,1146990633,1
285.1, 72.5,1146990649,1
288.7, 72.4,1146990683,1
222.5, 47.1,1146990692,1
372.6, -4.3,1146990722,1
651.2,-66.8,1146990737,1
833.5,-32.8,1146991316,1
833.5,-32.8,1146991329,1
826.5,  3.6,1146991357,1
825.6,  8.3,1146991370,1
823.5, 27.1,1146991405,1
829.1, 98.9,1146991447,1
816.2, -1.1,1146991455,1
802.2,-106.2,1146991501,1
802.2,-106.2,1146991535,1
802.2,-106.2,1146991548,1
911.8,-107.8,1146991678,1
911.8,-107.8,1146991693,1
911.8,-107.8,1146991725,1
911.8,-107.8,1146991759,1
911.8,-107.8,1146991773,1
911.8,-107.8,1146991802,1
864.1, 83.6,1146991897,1
864.1, 83.6,1146991953,1
864.1, 83.6,1146992029,1
768.9,-124.2,1146992522,1
768.9,-124.2,1146992539,1
734.6,-123.0,1146992569,1
730.3,-122.8,1146992585,1
714.8,-122.3,1146992631,1
714.8,-122.3,1146992657,1
714.8,-122.3,1146992677,1
657.2,-116.7,1146992711,1
251.8,-77.3,1146992731,1
196.4,-65.7,1146992748,1
109.0,-37.0,1146992761,1
135.6,-25.9,1146992799,1
280.6,-77.1,1146992815,1
505.2, 20.6,1146992831,1
410.9,-126.2,1146992847,1
594.6,-160.5,1146992862,1
534.1,-100.7,1146992879,1
573.4,-135.3,1146992896,1
624.0,-151.2,1146992912,1
699.7,-164.5,1146992960,1
647.5,-130.1,1146992976,1
483.1,-36.4,1146992991,1
619.6,-111.1,1146993004,1
522.0,-49.1,1146993017,1
420.8,-25.7,1146993031,1
351.5, -0.3,1146993049,1
268.9, 23.0,1146993078,1
272.5, 24.8,1146993095,1
310.5, 47.3,1146993110,1
438.8,158.8,1146993123,1
431.4,165.9,1146993152,1
413.1,163.3,1146993168,1
 89.0,-30.6,1146993200,1
-23.7,-94.3,1146993242,1
-64.8,-120.3,1146993272,1
-68.5,-122.6,1146993286,1
  0.3,-113.2,1146993345,1
714.5,163.7,1146993381,1
736.1,179.9,1146993407,1
670.0,130.5,1146993436,1
760.2,204.4,1146993450,1
764.5,398.3,1146993464,1
938.9,600.0,1146993498,1
1063.0,675.1,1146993542,1
1187.2,769.9,1146993563,1
1024.4,621.9,1146993579,1
1012.7,603.5,1146993597,1
913.0,497.1,1146993616,1
946.6,541.1,1146993648,1
748.1,451.4,1146993658,1
813.5,492.8,1146993680,1
966.7,599.6,1146993692,1
956.2,602.1,1146993706,1
942.1,596.3,1146993720,1
909.2,551.4,1146993736,1
891.2,534.4,1146993765,1
802.8,456.6,1146993782,1
790.6,442.3,1146993798,1
662.9,341.2,1146993832,1
682.9,339.3,1146993842,1
687.1,325.3,1146993855,1
661.8,327.0,1146993871,1
536.1,298.6,1146993900,1
547.2,310.1,1146993917,1
498.0,317.9,1146993991,1
511.9,266.0,1146994005,1
518.9,239.8,1146994021,1
536.7,244.8,1146994053,1
585.4,255.8,1146994106,1
590.4,303.8,1146994161,1
584.1,295.5,1146994207,1
426.8,219.2,1146994238,1
439.7,-203.8,1146994330,1
724.9,-153.4,1146994770,1
825.3,-90.3,1146994815,1
599.4,284.4,1146994890,1
940.7,185.5,1147002886,2
964.8,436.5,1147002916,2
968.5,450.0,1147002929,2
982.1,486.7,1147002978,2
967.2,504.8,1147003020,2
898.2,272.1,1147003033,2
917.6,241.8,1147003050,2
895.9,175.5,1147003065,2
886.9,172.9,1147003081,2
885.0,214.8,1147003095,2
911.0,264.8,1147003126,2
924.4,251.8,1147003141,2
897.7,256.2,1147003171,2
884.0,280.5,1147003185,2
778.1,302.3,1147003216,2
735.0,343.4,1147003232,2
722.8,368.1,1147003282,2
733.0,354.9,1147003292,2
744.1,366.6,1147003322,2
867.7, 74.7,1147003337,2
812.1,207.6,1147003368,2
1226.9,289.3,1147003839,2
1271.7,123.8,1147003888,2
1271.7,123.8,1147003902,2
1271.7,123.8,1147003918,2
1271.7,123.8,1147003928,2
1294.1,102.7,1147003952,2
1370.9,-14.8,1147003967,2
1357.1, -9.7,1147003981,2
1372.5,-24.1,1147003996,2
1278.1,-36.7,1147004043,2
1264.3,-51.6,1147004058,2
1271.6,-54.3,1147004073,2
1360.1,-63.4,1147004087,2
1266.8,121.0,1147004103,2
1177.5,252.0,1147004133,2
1179.9,288.5,1147004149,2
1159.5,419.0,1147004182,2
1157.3,420.4,1147004192,2
1126.0,451.4,1147004223,2
1097.3,330.1,1147004252,2
1070.3,363.4,1147004266,2
1050.9,316.3,1147004298,2
1001.8,310.7,1147004328,2
1012.6,317.9,1147004355,2
1046.6,344.4,1147004371,2
1021.2,327.1,1147004386,2
1027.9,303.5,1147004403,2
1035.5,293.9,1147004416,2
1034.6,305.0,1147004431,2
1024.9,304.7,1147004494,2
987.2,294.7,1147004543,2
985.1,291.4,1147004587,2
907.0,268.0,1147004655,2
876.2,259.8,1147004669,2
886.3,210.1,1147004686,2
929.4, 55.3,1147004714,2
977.7,113.2,1147004810,2
977.7,113.2,1147004826,2
936.8,297.4,1147004841,2
935.9,297.4,1147004860,2
995.5,245.8,1147004876,2
1005.6,242.8,1147004893,2
985.5,264.8,1147004912,2
975.5,315.1,1147004953,2
925.7,386.3,1147004967,2
959.9,360.5,1147004985,2
905.3,450.6,1147005025,2
904.9,453.3,1147005053,2
901.9,457.5,1147005105,2
1159.0,197.6,1147005151,2
809.3,315.0,1147005235,2
822.1,324.6,1147005251,2
838.5,356.1,1147005267,2
836.3,347.4,1147005284,2
840.6,364.7,1147005319,2
840.9,365.9,1147005331,2
1085.5,441.1,1147005345,2
1160.1,466.9,1147005377,2
1108.6,504.0,1147005392,2
1073.4,500.6,1147005407,2
1034.6,460.4,1147005422,2
1026.2,462.7,1147005437,2
923.3,537.0,1147005464,2
936.6,531.3,1147005480,2
882.2,594.8,1147005530,2
903.7,624.7,1147005557,2
934.2,688.6,1147005573,2
921.1,682.3,1147005601,2
846.4,627.4,1147005615,2
778.1,425.6,1147005629,2
709.3,1457.2,1147006030,2
881.9,653.5,1147006079,2
844.8,475.7,1147006111,2
822.3,425.1,1147006162,2
906.5,225.7,1147006225,2
919.8,329.4,1147006255,2
912.8,325.4,1147006296,2
929.8,337.8,1147006313,2
932.7,341.0,1147006330,2
931.4,337.7,1147006348,2
